No.,Nama Aktiva Tetap,NO SAP,Lokasi (Dist.Rule),Qty,Useful Life (Month),Useful Life (Year),acquisition Date,acquisition Year,Total Acquisision value,Kategori
680,Moveable Trolley for Water Container Stainless Steel 120L #4 - 9CPF,300485,9CPF,1,48,4,17-Feb-22,2022," 3,700,000 ",Equipment
681,OHAUS Pioneer Precision PX4202/E - 9PRD,300491,9PRD,1,48,4,23-Feb-22,2022," 16,565,650 ",Equipment
682,GSC type SGW-7000SS Waterproof Bench Scale - 9CPF,300492,9CPF,1,48,4,23-Feb-22,2022," 7,000,000 ",Equipment
683,Water Container Stainless Steel 58L #1 - 9CPF,300468,9CPF,1,48,4,2-Mar-22,2022," 4,500,000 ",Equipment
684,Water Container Stainless Steel 58L #2 - 9CPF,300469,9CPF,1,48,4,2-Mar-22,2022," 4,500,000 ",Equipment
685,Water Container Stainless Steel 58L #3 - 9CPF,300470,9CPF,1,48,4,2-Mar-22,2022," 4,500,000 ",Equipment
686,Water Container Stainless Steel 58L #4 - 9CPF,300471,9CPF,1,48,4,2-Mar-22,2022," 4,500,000 ",Equipment
687,Water Container Stainless Steel 120L #1 - 9CPF,300472,9CPF,1,48,4,2-Mar-22,2022," 5,500,000 ",Equipment
688,Water Container Stainless Steel 120L #2 - 9CPF,300473,9CPF,1,48,4,2-Mar-22,2022," 5,500,000 ",Equipment
689,Water Container Stainless Steel 120L #3 - 9CPF,300474,9CPF,1,48,4,2-Mar-22,2022," 5,500,000 ",Equipment
690,Water Container Stainless Steel 120L #4 - 9CPF,300475,9CPF,1,48,4,2-Mar-22,2022," 5,500,000 ",Equipment
691,Water Container Stainless Steel 120L #5 - 9CPF,300476,9CPF,1,48,4,2-Mar-22,2022," 5,500,000 ",Equipment
692,Water Container Stainless Steel 120L #6 - 9CPF,300477,9CPF,1,48,4,2-Mar-22,2022," 5,500,000 ",Equipment
693,Water Container Stainless Steel 120L #7 - 9CPF,300478,9CPF,1,48,4,2-Mar-22,2022," 5,500,000 ",Equipment
694,Water Container Stainless Steel 120L #8 - 9CPF,300479,9CPF,1,48,4,2-Mar-22,2022," 5,500,000 ",Equipment
695,Water Container Stainless Steel 120L #9 - 9CPF,300480,9CPF,1,48,4,2-Mar-22,2022," 5,500,000 ",Equipment
696,Water Container Stainless Steel 120L #10 - 9CPF,300481,9CPF,1,48,4,2-Mar-22,2022," 5,500,000 ",Equipment
697,NB Acer travelmate TMP214-52 ic5-10210u/16GB DDR4/512GB SSD/Win10 Prof OEM/war.3-3-0 - 9CPF,300493,9CPF,1,48,4,7-Mar-22,2022," 12,100,000 ",Equipment
698,Balanza - Bench Scale TM-A 4050 Indicator BX - 9CPF,300494,9CPF,1,48,4,25-Apr-22,2022," 5,310,000 ",Equipment
699,GSC type SGW-7000SS Waterproof Bench Scale - 9CPF,300495,9CPF,1,48,4,13-May-22,2022," 7,000,000 ",Equipment
700,NB ACER TMP214-52 IC5-101210U /16 GB DDR4 /512 GB SSD/ WIN 11 PRO /WARRANTY 3-3-3 - 9CPF,300496,9CPF,1,48,4,11-Jul-22,2022," 11,891,892 ",Equipment
701,NB ACER TMP214-52 IC5-101210U /16 GB DDR4 /512 GB SSD/ WIN 11 PRO /WARRANTY 3-3-3 - 9CPF,300497,9CPF,1,48,4,11-Jul-22,2022," 11,891,892 ",Equipment
